// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2015. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

pairingLegs = {
  <0, 1, 1> 
  ,<0, 2, 6> 
  ,<0, 3, 13> 
  ,<0, 4, 26> 
  ,<1, 1, 2> 
  ,<1, 2, 12> 
  ,<1, 3, 22> 
  ,<1, 4, 34> 
  ,<2, 1, 3> 
  ,<2, 2, 10> 
  ,<2, 3, 18> 
  ,<2, 4, 37> 
  ,<3, 1, 4> 
  ,<3, 2, 11> 
  ,<3, 3, 18> 
  ,<3, 4, 37> 
  ,<4, 1, 5> 
  ,<4, 2, 14> 
  ,<4, 3, 28> 
  ,<4, 4, 43> 
  ,<4, 5, 52> 
  ,<5, 1, 7> 
  ,<5, 2, 17> 
  ,<5, 3, 36> 
  ,<5, 4, 50> 
  ,<5, 5, 63> 
  ,<6, 1, 8> 
  ,<6, 2, 16> 
  ,<6, 3, 29> 
  ,<6, 4, 48> 
  ,<7, 1, 9> 
  ,<7, 2, 21> 
  ,<7, 3, 35> 
  ,<7, 4, 48> 
  ,<7, 5, 58> 
  ,<7, 6, 70> 
  ,<7, 7, 82> 
  ,<7, 8, 100> 
  ,<8, 1, 15> 
  ,<8, 2, 33> 
  ,<8, 3, 45> 
  ,<9, 1, 6> 
  ,<9, 2, 19> 
  ,<9, 3, 30> 
  ,<9, 4, 47> 
  ,<10, 1, 20> 
  ,<10, 2, 38> 
  ,<10, 3, 47> 
  ,<10, 4, 61> 
  ,<10, 5, 75> 
  ,<10, 6, 86> 
  ,<10, 7, 97> 
  ,<10, 8, 111> 
  ,<11, 1, 10> 
  ,<11, 2, 23> 
  ,<11, 3, 33> 
  ,<12, 1, 3> 
  ,<12, 2, 10> 
  ,<12, 3, 24> 
  ,<12, 4, 42> 
  ,<13, 1, 2> 
  ,<13, 2, 12> 
  ,<13, 3, 25> 
  ,<13, 4, 38> 
  ,<13, 5, 47> 
  ,<13, 6, 61> 
  ,<13, 7, 71> 
  ,<13, 8, 84> 
  ,<14, 1, 27> 
  ,<14, 2, 41> 
  ,<14, 3, 61> 
  ,<14, 4, 71> 
  ,<14, 5, 90> 
  ,<14, 6, 103> 
  ,<14, 7, 120> 
  ,<15, 1, 31> 
  ,<15, 2, 43> 
  ,<15, 3, 56> 
  ,<16, 1, 18> 
  ,<16, 2, 32> 
  ,<16, 3, 50> 
  ,<16, 4, 63> 
  ,<16, 5, 79> 
  ,<16, 6, 95> 
  ,<16, 7, 107> 
  ,<16, 8, 122> 
  ,<17, 1, 21> 
  ,<17, 2, 39> 
  ,<17, 3, 52> 
  ,<17, 4, 68> 
  ,<17, 5, 80> 
  ,<17, 6, 88> 
  ,<17, 7, 107> 
  ,<18, 1, 10> 
  ,<18, 2, 20> 
  ,<18, 3, 27> 
  ,<18, 4, 40> 
  ,<18, 5, 53> 
  ,<18, 6, 68> 
  ,<18, 7, 86> 
  ,<18, 8, 101> 
  ,<19, 1, 44> 
  ,<19, 2, 55> 
  ,<19, 3, 69> 
  ,<19, 4, 85> 
  ,<19, 5, 104> 
  ,<20, 1, 3> 
  ,<20, 2, 10> 
  ,<20, 3, 18> 
  ,<20, 4, 32> 
  ,<20, 5, 46> 
  ,<20, 6, 59> 
  ,<20, 7, 72> 
  ,<21, 1, 23> 
  ,<21, 2, 38> 
  ,<21, 3, 49> 
  ,<21, 4, 62> 
  ,<21, 5, 81> 
  ,<21, 6, 89> 
  ,<21, 7, 106> 
  ,<22, 1, 10> 
  ,<22, 2, 22> 
  ,<22, 3, 34> 
  ,<22, 4, 51> 
  ,<22, 5, 67> 
  ,<22, 6, 82> 
  ,<22, 7, 100> 
  ,<22, 8, 114> 
  ,<23, 1, 36> 
  ,<23, 2, 54> 
  ,<23, 3, 71> 
  ,<23, 4, 90> 
  ,<23, 5, 103> 
  ,<23, 6, 121> 
  ,<23, 7, 134> 
  ,<24, 1, 45> 
  ,<24, 2, 57> 
  ,<24, 3, 73> 
  ,<24, 4, 89> 
  ,<24, 5, 106> 
  ,<24, 6, 119> 
  ,<24, 7, 135> 
  ,<24, 8, 147> 
  ,<25, 1, 10> 
  ,<25, 2, 18> 
  ,<25, 3, 32> 
  ,<25, 4, 46> 
  ,<25, 5, 60> 
  ,<26, 1, 16> 
  ,<26, 2, 28> 
  ,<26, 3, 42> 
  ,<26, 4, 64> 
  ,<26, 5, 77> 
  ,<26, 6, 93> 
  ,<26, 7, 102> 
  ,<26, 8, 116> 
  ,<27, 1, 24> 
  ,<27, 2, 43> 
  ,<27, 3, 56> 
  ,<27, 4, 65> 
  ,<28, 1, 66> 
  ,<28, 2, 84> 
  ,<28, 3, 99> 
  ,<28, 4, 117> 
  ,<28, 5, 128> 
  ,<28, 6, 141> 
  ,<28, 7, 153> 
  ,<28, 8, 161> 
  ,<29, 1, 74> 
  ,<29, 2, 92> 
  ,<29, 3, 108> 
  ,<29, 4, 125> 
  ,<29, 5, 143> 
  ,<29, 6, 158> 
  ,<30, 1, 12> 
  ,<30, 2, 28> 
  ,<30, 3, 43> 
  ,<30, 4, 56> 
  ,<30, 5, 65> 
  ,<30, 6, 76> 
  ,<30, 7, 91> 
  ,<30, 8, 107> 
  ,<31, 1, 45> 
  ,<31, 2, 58> 
  ,<31, 3, 78> 
  ,<31, 4, 94> 
  ,<32, 1, 72> 
  ,<32, 2, 83> 
  ,<32, 3, 95> 
  ,<32, 4, 105> 
  ,<32, 5, 117> 
  ,<32, 6, 129> 
  ,<32, 7, 138> 
  ,<32, 8, 151> 
  ,<33, 1, 57> 
  ,<33, 2, 73> 
  ,<33, 3, 87> 
  ,<33, 4, 100> 
  ,<33, 5, 114> 
  ,<33, 6, 133> 
  ,<33, 7, 143> 
  ,<34, 1, 96> 
  ,<34, 2, 112> 
  ,<34, 3, 127> 
  ,<34, 4, 142> 
  ,<34, 5, 149> 
  ,<34, 6, 158> 
  ,<35, 1, 23> 
  ,<35, 2, 31> 
  ,<35, 3, 43> 
  ,<35, 4, 56> 
  ,<35, 5, 69> 
  ,<35, 6, 85> 
  ,<35, 7, 98> 
  ,<36, 1, 84> 
  ,<36, 2, 94> 
  ,<36, 3, 109> 
  ,<36, 4, 119> 
  ,<36, 5, 137> 
  ,<36, 6, 155> 
  ,<37, 1, 30> 
  ,<37, 2, 47> 
  ,<37, 3, 61> 
  ,<37, 4, 79> 
  ,<37, 5, 95> 
  ,<37, 6, 110> 
  ,<38, 1, 23> 
  ,<38, 2, 38> 
  ,<38, 3, 51> 
  ,<38, 4, 74> 
  ,<38, 5, 85> 
  ,<38, 6, 98> 
  ,<38, 7, 113> 
  ,<38, 8, 130> 
  ,<39, 1, 75> 
  ,<39, 2, 86> 
  ,<39, 3, 101> 
  ,<39, 4, 115> 
  ,<39, 5, 128> 
  ,<39, 6, 141> 
  ,<39, 7, 153> 
  ,<39, 8, 161> 
  ,<40, 1, 118> 
  ,<40, 2, 129> 
  ,<40, 3, 138> 
  ,<40, 4, 148> 
  ,<40, 5, 162> 
  ,<41, 1, 110> 
  ,<41, 2, 123> 
  ,<41, 3, 136> 
  ,<41, 4, 151> 
  ,<41, 5, 165> 
  ,<42, 1, 63> 
  ,<42, 2, 82> 
  ,<42, 3, 100> 
  ,<42, 4, 113> 
  ,<42, 5, 124> 
  ,<42, 6, 142> 
  ,<42, 7, 154> 
  ,<42, 8, 162> 
  ,<43, 1, 85> 
  ,<43, 2, 103> 
  ,<43, 3, 114> 
  ,<43, 4, 126> 
  ,<43, 5, 144> 
  ,<43, 6, 154> 
  ,<43, 7, 162> 
  ,<43, 8, 167> 
  ,<44, 1, 131> 
  ,<44, 2, 145> 
  ,<44, 3, 156> 
  ,<44, 4, 165> 
  ,<45, 1, 132> 
  ,<45, 2, 146> 
  ,<45, 3, 157> 
  ,<45, 4, 163> 
  ,<46, 1, 60> 
  ,<46, 2, 77> 
  ,<46, 3, 93> 
  ,<46, 4, 102> 
  ,<46, 5, 116> 
  ,<46, 6, 130> 
  ,<46, 7, 139> 
  ,<46, 8, 150> 
  ,<47, 1, 72> 
  ,<47, 2, 87> 
  ,<47, 3, 100> 
  ,<47, 4, 113> 
  ,<47, 5, 130> 
  ,<47, 6, 140> 
  ,<47, 7, 152> 
  ,<47, 8, 163> 
  ,<48, 1, 79> 
  ,<48, 2, 90> 
  ,<48, 3, 108> 
  ,<48, 4, 119> 
  ,<48, 5, 135> 
  ,<48, 6, 147> 
  ,<48, 7, 159> 
  ,<49, 1, 75> 
  ,<49, 2, 86> 
  ,<49, 3, 99> 
  ,<49, 4, 117> 
  ,<49, 5, 129> 
  ,<49, 6, 138> 
  ,<49, 7, 151> 
  ,<49, 8, 160> 
  ,<50, 1, 101> 
  ,<50, 2, 115> 
  ,<50, 3, 128> 
  ,<50, 4, 141> 
  ,<50, 5, 155> 
  ,<50, 6, 164> 
  ,<51, 1, 94> 
  ,<51, 2, 109> 
  ,<51, 3, 125> 
  ,<51, 4, 143> 
  ,<51, 5, 158> 
  ,<51, 6, 166> 
  ,<52, 1, 85> 
  ,<52, 2, 104> 
  ,<52, 3, 118> 
  ,<52, 4, 129> 
  ,<52, 5, 138> 
  ,<52, 6, 148> 
  ,<52, 7, 163> 
  ,<52, 8, 168> 
};

pairingCosts = {
  <0, 291> 
  ,<1, 393> 
  ,<2, 393> 
  ,<3, 360> 
  ,<4, 398> 
  ,<5, 420> 
  ,<6, 296> 
  ,<7, 682> 
  ,<8, 227> 
  ,<9, 294> 
  ,<10, 589> 
  ,<11, 225> 
  ,<12, 391> 
  ,<13, 655> 
  ,<14, 555> 
  ,<15, 196> 
  ,<16, 711> 
  ,<17, 620> 
  ,<18, 622> 
  ,<19, 391> 
  ,<20, 584> 
  ,<21, 604> 
  ,<22, 711> 
  ,<23, 571> 
  ,<24, 817> 
  ,<25, 433> 
  ,<26, 682> 
  ,<27, 302> 
  ,<28, 649> 
  ,<29, 550> 
  ,<30, 731> 
  ,<31, 322> 
  ,<32, 593> 
  ,<33, 642> 
  ,<34, 449> 
  ,<35, 491> 
  ,<36, 536> 
  ,<37, 473> 
  ,<38, 628> 
  ,<39, 682> 
  ,<40, 402> 
  ,<41, 402> 
  ,<42, 634> 
  ,<43, 622> 
  ,<44, 298> 
  ,<45, 294> 
  ,<46, 615> 
  ,<47, 655> 
  ,<48, 635> 
  ,<49, 598> 
  ,<50, 464> 
  ,<51, 567> 
  ,<52, 651> 
};
