// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

NbTasks = 122;
NbRsrcs = 4;

Capacity = [ 15, 15, 16, 15 ]; 

Tasks = { 
  < 1, 0, [ 0, 0, 0, 0 ], { 2, 3, 4 } >,
  < 2, 10, [ 0, 3, 0, 0 ], { 5, 13, 93 } >,
  < 3, 4, [ 0, 3, 0, 0 ], { 112 } >,
  < 4, 5, [ 0, 0, 0, 9 ], { 37, 51, 55 } >,
  < 5, 2, [ 0, 7, 0, 0 ], { 6, 8, 57 } >,
  < 6, 10, [ 0, 0, 0, 1 ], { 7, 9, 16 } >,
  < 7, 5, [ 0, 7, 0, 0 ], { 15 } >,
  < 8, 7, [ 0, 10, 0, 0 ], { 12, 20, 22 } >,
  < 9, 10, [ 0, 1, 0, 0 ], { 10, 11, 17 } >,
  < 10, 2, [ 0, 5, 0, 0 ], { 21, 24, 84 } >,
  < 11, 7, [ 0, 0, 6, 0 ], { 101 } >,
  < 12, 2, [ 0, 7, 0, 0 ], { 18, 71, 72 } >,
  < 13, 1, [ 0, 7, 0, 0 ], { 14, 27, 30 } >,
  < 14, 7, [ 1, 0, 0, 0 ], { 19 } >,
  < 15, 8, [ 0, 0, 9, 0 ], { 39 } >,
  < 16, 7, [ 0, 0, 0, 10 ], { 59 } >,
  < 17, 2, [ 0, 0, 0, 8 ], { 34, 50 } >,
  < 18, 4, [ 0, 9, 0, 0 ], { 25, 26, 28 } >,
  < 19, 1, [ 1, 0, 0, 0 ], { 81 } >,
  < 20, 9, [ 0, 0, 0, 2 ], { 32, 44, 91 } >,
  < 21, 10, [ 0, 0, 0, 9 ], { 61, 63 } >,
  < 22, 9, [ 3, 0, 0, 0 ], { 23, 36, 59 } >,
  < 23, 6, [ 4, 0, 0, 0 ], { 102 } >,
  < 24, 6, [ 0, 0, 0, 5 ], { 29 } >,
  < 25, 10, [ 0, 0, 0, 3 ], { 35, 60, 89 } >,
  < 26, 3, [ 0, 0, 0, 3 ], { 31, 83, 116 } >,
  < 27, 10, [ 0, 0, 4, 0 ], { 47 } >,
  < 28, 1, [ 10, 0, 0, 0 ], { 39, 41 } >,
  < 29, 4, [ 0, 0, 4, 0 ], { 51 } >,
  < 30, 10, [ 8, 0, 0, 0 ], { 69 } >,
  < 31, 9, [ 0, 3, 0, 0 ], { 43 } >,
  < 32, 6, [ 0, 0, 2, 0 ], { 33, 40, 107 } >,
  < 33, 4, [ 0, 0, 9, 0 ], { 101 } >,
  < 34, 7, [ 4, 0, 0, 0 ], { 54 } >,
  < 35, 7, [ 10, 0, 0, 0 ], { 38, 45, 90 } >,
  < 36, 5, [ 6, 0, 0, 0 ], { 46, 48, 69 } >,
  < 37, 5, [ 8, 0, 0, 0 ], { 49, 76, 94 } >,
  < 38, 10, [ 0, 0, 0, 1 ], { 55 } >,
  < 39, 7, [ 0, 0, 4, 0 ], { 42 } >,
  < 40, 8, [ 0, 0, 0, 7 ], { 82 } >,
  < 41, 10, [ 0, 0, 0, 3 ], { 100 } >,
  < 42, 5, [ 0, 0, 0, 10 ], { 67 } >,
  < 43, 8, [ 0, 8, 0, 0 ], { 88 } >,
  < 44, 7, [ 1, 0, 0, 0 ], { 100 } >,
  < 45, 4, [ 0, 0, 8, 0 ], { 66, 73, 103 } >,
  < 46, 5, [ 0, 0, 6, 0 ], { 52, 62, 114 } >,
  < 47, 1, [ 2, 0, 0, 0 ], { 58, 77 } >,
  < 48, 7, [ 0, 0, 7, 0 ], { 91 } >,
  < 49, 1, [ 8, 0, 0, 0 ], { 54, 56, 80 } >,
  < 50, 10, [ 0, 1, 0, 0 ], { 67 } >,
  < 51, 10, [ 6, 0, 0, 0 ], { 64 } >,
  < 52, 5, [ 0, 0, 0, 7 ], { 53, 74 } >,
  < 53, 4, [ 4, 0, 0, 0 ], { 65, 108 } >,
  < 54, 2, [ 0, 0, 0, 9 ], { 70 } >,
  < 55, 5, [ 5, 0, 0, 0 ], { 115, 117 } >,
  < 56, 8, [ 4, 0, 0, 0 ], { 75 } >,
  < 57, 7, [ 0, 0, 0, 8 ], { 61, 81 } >,
  < 58, 9, [ 0, 0, 0, 4 ], { 115 } >,
